created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-28 17:49:08+00:00,IainS9,We Were Warriors Once and Had Courage  (sayeth the old man),Scotland,@NavyLookout @hms_pembroke @SheilaLWeir - But not so atmospheric. https://t.co/aeGohMJ1GW,en,,['https://pbs.twimg.com/media/FO9F_UsXoAAPluk.jpg'],
2022-03-28 17:43:58+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@hms_pembroke outbound on the Clyde today.

VIa @SheilaLWeir https://t.co/jtJevvDMNP",en,,['https://pbs.twimg.com/media/FO9ExbvXEAQtxTk.jpg'],
2022-03-28 16:31:01+00:00,lenkabondarenka,push the tempo,Украина,@NavyLookout https://t.co/R3IlIY8qD8,und,,['https://pbs.twimg.com/media/FO80LetXEAgTl6q.jpg'],
2022-03-28 16:12:13+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"Latest news commentary:

Assessing Russia’s first major naval loss of the war in Ukraine

https://t.co/YUDYbc9lz1 https://t.co/BR4dHMORpg",en,,['https://pbs.twimg.com/media/FO8t2R3XsAgiBiQ.jpg'],
2022-03-28 10:27:52+00:00,Shipsoftherive1,Bringing you what I can when I can from ships up and down the Mersey all photos by Ian F,"Birkenhead, England","@HMSQNLZ leaving on a very hazy Mersey today 
@RNPics_ @RoyalNavy @NavyLookout https://t.co/PvKnaTDVAJ",en,,['https://pbs.twimg.com/media/FO7hFBeWQAIPwJa.jpg'],
2022-03-28 09:28:09+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSQNLZ sails from Liverpool this morning 

Via @Streetgang42 https://t.co/QEiUr5DAp2",en,,['https://pbs.twimg.com/media/FO7TZ9QXEAULrqX.jpg'],
2022-03-28 09:27:48+00:00,georgeemmett8,"I have autism and like taking pictures of ships
My favourites are HMS Dragon, HMS Tamar HMS Prince of Wales P2000
minesweepers
type 23 RFA ships Batch 1/2 opvs","Portsmouth, England","FS Lion departing from @HMNBPortsmouth on the 28.3.2022.
@NavyLookout 
@nato_news 
@WarshipCam https://t.co/OEOO20tDxJ",en,,['https://pbs.twimg.com/media/FO7TK_mXsAMVCrO.jpg'],
2022-03-28 09:25:48+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@hms_tyne outbound from Devonport for more @FOST serials this morning.

Via @defenceimagesuk https://t.co/bhARh3mZ0l",en,,['https://pbs.twimg.com/media/FO7S3k7XEAgxfmj.jpg'],
2022-03-28 09:25:47+00:00,georgeemmett8,"I have autism and like taking pictures of ships
My favourites are HMS Dragon, HMS Tamar HMS Prince of Wales P2000
minesweepers
type 23 RFA ships Batch 1/2 opvs","Portsmouth, England","Fs Guepard departing from @HMNBPortsmouth on the 28.3.2022.
@NavyLookout 
@nato_news https://t.co/FuR4sC27fa",en,,['https://pbs.twimg.com/media/FO7ShVPWUAY3i0m.jpg'],
2022-03-28 09:09:57+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"P2000s @HMS_Smiter @HMSExplorer @HMSArcher sail from Devonport this morning

Via @defenceimagesuk https://t.co/9eYPUwfOU2",en,,['https://pbs.twimg.com/media/FO7PItPXwAApe1W.jpg'],
