created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-28 21:40:58+00:00,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"千代田形/日本/砲艦
幕府が総力を上げて作った初の国産西洋軍艦
船体、武装、機関全てが国産とはﾀｲｼﾀﾓﾝｼﾞｬﾅｲｶあ゛あ゛あ゛あ゛あ゛あ゛！！！
大量建造が予定されたが戊辰戦争により中止になり、完成したのは1隻のみ

音量注意
https://t.co/Uj4T8K4CgO",ja,,['https://pbs.twimg.com/media/D1JhiazUYAA5UTH.jpg'],
2022-03-28 20:41:26+00:00,dobryranok,internally displaced person,Ukraine,@JLarky @JimmySecUK Follow your warship and take you entourage with you RuZZkie https://t.co/QVmS4QrcT5,en,,['https://pbs.twimg.com/media/FO9tgzLWUAMc9cw.jpg'],
2022-03-28 20:40:53+00:00,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"ダントン級戦艦/フランス/戦艦
以前のように少しずつ戦艦を造る方法だと英独に対抗できないので初めて大量建造した戦艦
しかし、ド級の時代に準ド級を大量建造したせいで国民から「見損なったぞ海軍！」と大バッシングを食らった。ナンデダヨ！
https://t.co/xE5hPVfNSa",ja,,['https://pbs.twimg.com/media/DvRVK8NUwAEQq1K.jpg'],
2022-03-28 20:31:15+00:00,WatchdogforNFT,"🤯I do things from time to time and hopefully you do them too
🚀 NFTs 🚀 Crypto 🚀 Art 
🚀 Bananas🍌 https://t.co/zzGc4KF392",,"Russian Warship, Go Fuck Yourself!
#russianwarshipgfy #russianwarshipgofyourself 
#Ukraine #UkraineUnderAttaсk https://t.co/ua0d2YXmol",en,"['russianwarshipgfy', 'russianwarshipgofyourself', 'Ukraine', 'UkraineUnderAttaсk']",['https://pbs.twimg.com/media/FO9rL0_XEAEGatN.jpg'],
2022-03-28 20:24:19+00:00,idle_warship,"""Eye flossed a wilt olive,"" eek rides oft lien twisty cop.","Portland, OR",G. Erle Cocke https://t.co/AAwh1WTwtV,de,,['https://pbs.twimg.com/media/FO9pmJhVsAAMUPi.jpg'],
2022-03-28 20:11:00+00:00,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"金剛/日本/巡洋戦艦
ド級建艦競争についていけない日本がイギリスに発注した最後の軍艦
イギリスが売ったのを後悔した程高性能だった
太平洋戦争で活躍したが、近年は擬人化のせいでかｳｺﾞﾝｺﾍﾟｯﾁｬﾝｺ♪とネタにされるなど不憫が続く
https://t.co/30Tj4nWspl",ja,,['https://pbs.twimg.com/media/DrDEtXqUwAA26e-.jpg'],
2022-03-28 19:40:58+00:00,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"アクィラ(アキラ)/イタリア/空母
アクィラなのかアキラなのか資料によって読み方違うからこれもう分かんねぇなぁ
空軍のエアカバーが当てにならなかったので艦隊防空のため急遽建造したが間に合わなかった　艦載機は全部戦闘機とか極端すね
https://t.co/1o8vWXLSek",ja,,['https://pbs.twimg.com/media/DCS4swmUQAAGRJ_.jpg'],
2022-03-28 19:11:02+00:00,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"吹雪型駆逐艦/日本/駆逐艦
海軍からの無理難題を実現したら駆逐艦世界のドレッドノートが生まれた
コイツと古鷹型のせいでロンドン軍縮会議が開催されたと言っても過言ではないと思うの
その艦型は戦後のはるかぜ型護衛艦にも影響を与えている
https://t.co/ihzk2sqo59",ja,,['https://pbs.twimg.com/media/DBOadbZVwAEAgt3.jpg'],
2022-03-28 18:48:22+00:00,L5d,"法学家，政治学家，中国问题专家。想给中共常委们上一堂善恶有报佛教课。Human Rights for China, Menschenrechte für China e.V. 中国人权支持会是在德国法院注册、财政局认证的公益机构。官网https://t.co/T0baeirEuz。推翻独裁、享有民主自由是基本人权。转发≠同意。",Germany,专家：解放军战舰首现非洲吉布提中国基地战略意义重大 https://t.co/VsgI7466HW 在中国海军近年快速在全球拓展其战略影响力之际，一艘中国军用舰船近期首次出现在中国在东非吉布提新建的军事基地。 https://t.co/NuPmcxynnU,zh,,['https://pbs.twimg.com/media/FO9To5WXEAEXrM6.jpg'],
2022-03-28 18:40:55+00:00,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"アクィラ(アキラ)/イタリア/空母
アクィラなのかアキラなのか資料によって読み方違うからこれもう分かんねぇなぁ
空軍のエアカバーが当てにならなかったので艦隊防空のため急遽建造したが間に合わなかった　艦載機は全部戦闘機とか極端すね
https://t.co/1o8vWXLSek",ja,,['https://pbs.twimg.com/media/DCS4swmUQAAGRJ_.jpg'],
2022-03-28 18:37:48+00:00,Mr_Sloth17,"The official twitter page of Mr_Sloth17
Mon/Wed/Sat @ 9PM EST on https://t.co/uOcb6RQt5J
Disgruntled Vet. Pronouns: (Rah/Sarnt) Get Sh*t On",,"My favorite tidbit of advice. My response? Russian warship, ""_______"" https://t.co/WqB5ZZIHFa",en,,['https://pbs.twimg.com/media/FO9ROCQXwAMWVkC.jpg'],
2022-03-28 17:54:25+00:00,_warship,"If you watch my content I love you, otherwise I only like you. Probably.
@GameonAUS CC
 
Enquiries - prepare4war@live.com.au

https://t.co/DSLouE37hH","Perth, WA",went to the fitbit website and no shit you cant make this up https://t.co/J5OFaCum5B,en,,['https://pbs.twimg.com/media/FO9HJEdaAAArjrQ.jpg'],
2022-03-28 17:49:07+00:00,tummyjose,"@holden_days
Peregrine, my fifth album is out everywhere now. Links to stream/purchase below!","California, USA",@idle_warship @matejagibert https://t.co/U5km2sNZzL,und,,['https://pbs.twimg.com/media/FO9GELYVIAE4TvS.jpg'],
2022-03-28 17:40:57+00:00,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"ジャガー/イギリス/フリゲート
主砲がでかくて、艦橋が小さくて、ずんぐりむっくりな感じする頑丈な体(2014年まで現役)をしてるのがジャガーです
バングラデシュにも行かなあかん(1978年から)し、練習生育てなあかんし・・・
https://t.co/ZFicYuB2fC",ja,,['https://pbs.twimg.com/media/DPPlkaKUEAAZfHO.jpg'],
2022-03-28 17:32:30+00:00,trinsama,"わたしはトリン。お題でお絵かきができる「トーンスフィアの神さま」。
@で「お絵かき (お題)」と投げるとお絵かきができます。
Tone Sphere's own Trin!
Use @ with ""paint (theme)"" for painting request.

by @naclbbr / @naclbbre",Bit192 - NFT usage prohibited,".@10days_K 『太平洋を航行するマグロ軍艦』
(Tuna Warship Sailing in the Pacific Ocean) https://t.co/sAzS4maXEq",ja,,['https://pbs.twimg.com/media/FO9CQ74WUAk6RFL.jpg'],
2022-03-28 17:11:04+00:00,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"キーロフ級ミサイル巡洋艦/ロシア/ミサイル巡洋艦
あ…ありのまま事実を話すぜ！
ソ連が防空艦を作ると思ったら、奴らはいつのまにか戦艦を作ってた…しかも3番艦復活で頭がどうにかなりそうだった…
やっぱりロシアは頭おかしい(褒め言葉)
https://t.co/l5ll794MI4",ja,,['https://pbs.twimg.com/media/DWpisIZVQAECIpm.jpg'],
2022-03-28 16:33:00+00:00,Yury_UA,WITH 🇺🇦 UKRAINE IN ❤️,Киев,@USNavy @Warship_78 https://t.co/DXcW6SOW3x,und,,['https://pbs.twimg.com/media/FO80oy-XEAUoDMq.jpg'],
2022-03-28 16:16:23+00:00,jirisalin,"Kenenkään natsat eivät tee vaikutusta.
En edusta ketään.
jos/niin

if/then",,"@wyattreed13 Russian warship, you know what to do. https://t.co/ulmzTLKavq",en,,['https://pbs.twimg.com/media/FO8w1kwWYAovNHO.jpg'],
