created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-24 08:42:36+00:00,FraserG32883664,,,Svitzer tug boat ‘water colour’. @SvitzerGlobal @TugboatsUK #Tugs #Gravesend #RiverThames https://t.co/kuruTgmGpH,ca,"['Tugs', 'Gravesend', 'RiverThames']",['https://pbs.twimg.com/media/FOmikIEXwAAml8b.jpg'],
2022-03-20 08:04:36+00:00,FraserG32883664,,,Chemical and oil tanker STI Clapham passing East Tilbury. #ShipsInPics #Tilbury #RiverThames https://t.co/cFoa60LM8M,en,"['ShipsInPics', 'Tilbury', 'RiverThames']",['https://pbs.twimg.com/media/FORzgYiWUAMWFUM.jpg'],
2022-03-16 06:07:30+00:00,FraserG32883664,,,SSI Erdogan Bey on the Thames and passing the Port of Tilbury. #ShipsInPics #BulkCarrier #Gravesend #RiverThames https://t.co/kdeREDw7qW,en,"['ShipsInPics', 'BulkCarrier', 'Gravesend', 'RiverThames']",['https://pbs.twimg.com/media/FN8yWObXoAALAD6.jpg'],
2022-03-09 09:43:48+00:00,FraserG32883664,,,Cargo ship Okiana progressing along the Essex shores of the River Thames. #ShipsInPics #CargoShip #RiverThames https://t.co/2RRNfJi4KS,en,"['ShipsInPics', 'CargoShip', 'RiverThames']",['https://pbs.twimg.com/media/FNZgjdGX0AIarb2.jpg'],
2022-03-05 07:12:37+00:00,FraserG32883664,,,Bulk carrier Moleson heading into Gravesend Reach earlier this week. #ShipsInPics #BulkCarrier #RiverThames https://t.co/q4CeIQ1P2V,en,"['ShipsInPics', 'BulkCarrier', 'RiverThames']",['https://pbs.twimg.com/media/FNEXxv4XEAYyChv.jpg'],
2022-02-24 08:46:20+00:00,FraserG32883664,,,Panama flagged Teal Bulker has been  trading on the world’s oceans since 2014.#ShipsInPics #Gravesend #RiverThames https://t.co/0h6qMZdc7x,en,"['ShipsInPics', 'Gravesend', 'RiverThames']",['https://pbs.twimg.com/media/FMWW4XCXsAAOluf.jpg'],
2022-02-23 09:16:46+00:00,FraserG32883664,,,“Full steam ahead” tanker Hellas Avatar in Gravesend Reach on the River Thames. #ShipsInPics #Gravesend #RiverThames https://t.co/1qvafbFj68,en,"['ShipsInPics', 'Gravesend', 'RiverThames']",['https://pbs.twimg.com/media/FMRUG_WX0AEVPLL.jpg'],
2022-02-14 09:24:37+00:00,FraserG32883664,,,Cobelfret’s ro-ro cargo vessel Valentine on the River Thames in 2019. #ShipsInPics #RiverThames https://t.co/0P0RsZ650O,en,"['ShipsInPics', 'RiverThames']",['https://pbs.twimg.com/media/FLi_js_WUAIk33U.jpg'],
2022-01-31 08:54:29+00:00,FraserG32883664,,,Bulk carrier Maccoa transits the Essex shores of the River Thames. #ShipsInPics #RiverThames https://t.co/Mub7WZpt4n,en,"['ShipsInPics', 'RiverThames']",['https://pbs.twimg.com/media/FKaymQ_XoAQiscv.jpg'],
2021-12-28 15:04:49+00:00,FraserG32883664,,,"Bulk carrier Desert Oasis inbound and passing Coalhouse Point in Essex.
#ShipsInPics #Shipping #RiverThames https://t.co/xp8piMGQAY",en,"['ShipsInPics', 'Shipping', 'RiverThames']",['https://pbs.twimg.com/media/FHtBSpdXMAQlU6q.jpg'],
2021-12-23 15:24:31+00:00,FraserG32883664,,,Brig Mercedes preparing to catch a summer’s evening zephyr. @Sailingheritage #sailing #sailingpoetry #TallShip https://t.co/YgKOp0sxPQ,en,"['sailing', 'sailingpoetry', 'TallShip']",['https://pbs.twimg.com/media/FHTVxAgXsA8ENjP.jpg'],
2021-12-19 18:02:37+00:00,FraserG32883664,,,MSC Geneva inbound on the Thames for the Port of Tilbury. #ShipsInPics #Shipping #Tugs #RiverThames https://t.co/X1cuh7tZUk,en,"['ShipsInPics', 'Shipping', 'Tugs', 'RiverThames']",['https://pbs.twimg.com/media/FG_TmqIWUAQmR57.jpg'],
2021-12-12 22:27:26+00:00,FraserG32883664,,,"Vehicle carrier Isar Highway built in 2000 and pictured on the River Thames.
#Shipping #Kess #RiverThames https://t.co/tEAIOof3NS",en,"['Shipping', 'Kess', 'RiverThames']",['https://pbs.twimg.com/media/FGcNNm2XIAEPzby.jpg'],
2021-12-08 06:50:44+00:00,FraserG32883664,,,"The mighty bulk carrier Feng Li Hai on the River Thames.
@COSCOSHIPPING #Shipping #RiverThames https://t.co/rl5e1p88Gt",en,"['Shipping', 'RiverThames']",['https://pbs.twimg.com/media/FGEQbKxX0AAX2nz.jpg'],
2021-12-05 11:31:08+00:00,FraserG32883664,,,"CLdN’s Ro-Ro cargo ship Pauline passing the solar disc inbound for Purfleet.
#shipping #RoRo #Gravesend #RiverThames https://t.co/ejIHS7PCyT",en,"['shipping', 'RoRo', 'Gravesend', 'RiverThames']",['https://pbs.twimg.com/media/FF1z0TlX0AQ304x.jpg'],
2021-12-03 20:35:52+00:00,FraserG32883664,,,"Ro-Ro cargo ship Tundraland, near Cliffe on the River Thames.
#RoRo #Shipping #RiverThames https://t.co/TNYGIrwIxe",en,"['RoRo', 'Shipping', 'RiverThames']",['https://pbs.twimg.com/media/FFtdYjrXMAMeMGq.jpg'],
2021-12-01 11:02:27+00:00,FraserG32883664,,,The 1st of December and looking forward to the return of summer! Svitzer tugs sunrise summer 2020. https://t.co/yDl7jGlWMS,en,,['https://pbs.twimg.com/media/FFhG0QzXEAMLfYn.jpg'],
2021-11-20 10:29:14+00:00,FraserG32883664,,,"Polar Onega passing Higham on the River Thames
#shipping #Thames https://t.co/Hu1l8klyiW",en,"['shipping', 'Thames']",['https://pbs.twimg.com/media/FEoV2nhWQAgKvFJ.jpg'],
2021-11-19 10:24:04+00:00,FraserG32883664,,,"Container ship MSC Geneva outbound from the Port of Tilbury.  
#shipping #Thames https://t.co/lrFXKxVoQ9",en,"['shipping', 'Thames']",['https://pbs.twimg.com/media/FEjLFH4WQAgT_Ou.jpg'],
2021-11-14 09:43:33+00:00,FraserG32883664,,,#RemembranceDay2021 #armisticeday #poppy #LestWeForget https://t.co/hvOhuuvMnA,und,"['RemembranceDay2021', 'armisticeday', 'poppy', 'LestWeForget']",['https://pbs.twimg.com/media/FEJR01BXwAYgFM4.jpg'],
2021-11-13 12:44:05+00:00,FraserG32883664,,,"Seabourn Ovation enjoying a River Thames sunset.
@SeabournCruise #seabourn #SeabournOvation #Thames #CruiseShips https://t.co/HndSDKlVpS",en,"['seabourn', 'SeabournOvation', 'Thames', 'CruiseShips']",['https://pbs.twimg.com/media/FEExkooX0AAz97V.jpg'],
2021-11-12 09:17:16+00:00,FraserG32883664,,,"Steam Tug Barking built in 1928, navigating the waters of Faversham Creek.
#Tugs #Faversham #MaritimeHeritage https://t.co/Vap42rR2Lm",en,"['Tugs', 'Faversham', 'MaritimeHeritage']",['https://pbs.twimg.com/media/FD-4q6aXsAQPgo6.jpg'],
2021-10-21 14:45:36+00:00,FraserG32883664,,,"Container ship Merkur Fjord outbound in Tilburyness on the River Thames.
#shipping #riverthames https://t.co/1PI7AEjQA0",en,"['shipping', 'riverthames']",['https://pbs.twimg.com/media/FCOw1OLUcAksjzH.jpg'],
