created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2020-10-08 15:48:00+00:00,HHshipspotting,"Shipping activity around Hamburg Harbor
Tips welcome: https://t.co/Jk9H5MuotX
https://t.co/3lcMM1Jq4n","Hamburg, Germany","Dignity Ace, #Vehicle Carrier 200x32m, towed by #tugboat ZP Bison into #port of #hamburg 
2018-12-19 https://t.co/bKXxQxMwyt",en,"['Vehicle', 'tugboat', 'port', 'hamburg']",['https://pbs.twimg.com/media/EjzFb_XWoAAnrrb.jpg'],
2020-09-01 20:30:11+00:00,HHshipspotting,"Shipping activity around Hamburg Harbor
Tips welcome: https://t.co/Jk9H5MuotX
https://t.co/3lcMM1Jq4n","Hamburg, Germany","Icy #Elbe river on a sunny #winter day, #Hamburg 2018-03-06 https://t.co/y0xwMB3aTK",en,"['Elbe', 'winter', 'Hamburg']",['https://pbs.twimg.com/media/Eg2zjuLXcAIQGK3.jpg'],
2020-08-11 13:19:49+00:00,HHshipspotting,"Shipping activity around Hamburg Harbor
Tips welcome: https://t.co/Jk9H5MuotX
https://t.co/3lcMM1Jq4n","Hamburg, Germany","Alexander von Humboldt, Hopper #Dredger, Jan de Nul Group
#Hamburg 2017-10-06 https://t.co/aB45tZ5reC",nl,"['Dredger', 'Hamburg']",['https://pbs.twimg.com/media/EfJHyDRWAAEcBKH.jpg'],
2020-08-04 13:42:51+00:00,HHshipspotting,"Shipping activity around Hamburg Harbor
Tips welcome: https://t.co/Jk9H5MuotX
https://t.co/3lcMM1Jq4n","Hamburg, Germany","Sunset at Museumshafen Oevelgönne, #Hamburg
2017-09-15 https://t.co/gyc8urTJLE",de,['Hamburg'],['https://pbs.twimg.com/media/EelKGcYXYAESzVT.jpg'],
2020-08-02 12:03:32+00:00,HHshipspotting,"Shipping activity around Hamburg Harbor
Tips welcome: https://t.co/Jk9H5MuotX
https://t.co/3lcMM1Jq4n","Hamburg, Germany","Viking Destiny passing by #StPauli Fischmarkt. 
Ro-Ro vehicle carrier, 199x32m, #Hamburg 2017-09-12 https://t.co/sOeYdMZ2Yq",en,"['StPauli', 'Hamburg']",['https://pbs.twimg.com/media/EeafoMMWoAAd-BJ.jpg'],
2020-07-29 11:53:43+00:00,HHshipspotting,"Shipping activity around Hamburg Harbor
Tips welcome: https://t.co/Jk9H5MuotX
https://t.co/3lcMM1Jq4n","Hamburg, Germany","#HapagLloyd Tucapel, #container #ship, 8000 TEU, 299x45m
#Hamburg 2017-06-01 https://t.co/0Brjj2yl0P",pt,"['HapagLloyd', 'container', 'ship', 'Hamburg']",['https://pbs.twimg.com/media/EeF3WiHWkAIxIyl.jpg'],
2020-07-28 08:33:33+00:00,HHshipspotting,"Shipping activity around Hamburg Harbor
Tips welcome: https://t.co/Jk9H5MuotX
https://t.co/3lcMM1Jq4n","Hamburg, Germany","#HHLA floating crane 
#Schwimmkran 2017-05-24 https://t.co/3gYpJmNbfJ",en,"['HHLA', 'Schwimmkran']",['https://pbs.twimg.com/media/EeAAF_PWAAUGfB5.jpg'],
2019-10-02 21:10:06+00:00,HHshipspotting,"Shipping activity around Hamburg Harbor
Tips welcome: https://t.co/Jk9H5MuotX
https://t.co/3lcMM1Jq4n","Hamburg, Germany",#Sailing ships leaving the port of #Hamburg during #Hafengeburtstag Auslaufparade. 2017-05-07 https://t.co/DfygsykST4,en,"['Sailing', 'Hamburg', 'Hafengeburtstag']",['https://pbs.twimg.com/media/EF5wfPXXkAIYJzG.jpg'],
2019-09-30 20:41:52+00:00,HHshipspotting,"Shipping activity around Hamburg Harbor
Tips welcome: https://t.co/Jk9H5MuotX
https://t.co/3lcMM1Jq4n","Hamburg, Germany","Regal Princess, #cruise #ship, departing #Hamburg.
3,560 passengers, 1,346 crew, 330m×44m. 2017-04-28 https://t.co/9JtuK4N5PA",en,"['cruise', 'ship', 'Hamburg']",['https://pbs.twimg.com/media/EFvW1NwWwAE6MOF.jpg'],
2019-09-29 16:09:34+00:00,HHshipspotting,"Shipping activity around Hamburg Harbor
Tips welcome: https://t.co/Jk9H5MuotX
https://t.co/3lcMM1Jq4n","Hamburg, Germany","Dignity Ace, #vehicle carrier 200m×32m, with tugboat ZP Bison.
#Hamburg #Shipping 2018-12-19 https://t.co/9yEcJ78kLi",en,"['vehicle', 'Hamburg', 'Shipping']",['https://pbs.twimg.com/media/EFpO69IWsAEJHOR.jpg'],
