created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-27 21:15:03+00:00,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA",RT @Fotogmike: @BraydenCreation https://t.co/RYReXA9xAg,und,,['https://pbs.twimg.com/media/FO4n41NX0Ao4A89.jpg'],
2022-03-27 16:13:32+00:00,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA",RT @Fotogmike: @deftony83 https://t.co/nVRrhLA8sh,und,,['https://pbs.twimg.com/media/FOzvqhEWUBAnMNB.jpg'],
2022-03-26 21:36:02+00:00,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA","@WarshipCam @scottdurham Another view from the 1980 movie, The Final Countdown. https://t.co/zZM9mL4ia3",en,,['https://pbs.twimg.com/media/FOzm1Q7XEAQRl5Y.jpg'],"Place(_api=<tweepy.api.API object at 0x00000252C547C940>, id='84229b03659050aa', url='https://api.twitter.com/1.1/geo/id/84229b03659050aa.json', place_type='city', name='Virginia Beach', full_name='Virginia Beach, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000252C547C940>, type='Polygon', coordinates=[[[-76.22808, 36.672684], [-75.9118121, 36.672684], [-75.9118121, 36.932399], [-76.22808, 36.932399]]]), attributes={})"
2022-03-26 18:41:33+00:00,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA",The #HopperDredger #Stuyvesant IMO:7915838 🇺🇸 and the #OffshoreSupplyShip #GaryChouest IMO:9132323 🇺🇸 #ShipsInPics https://t.co/EiEOSQiO52,en,"['HopperDredger', 'Stuyvesant', 'OffshoreSupplyShip', 'GaryChouest', 'ShipsInPics']",['https://pbs.twimg.com/media/FOy-5W_WUAo_65c.jpg'],"Place(_api=<tweepy.api.API object at 0x00000252C547C940>, id='84229b03659050aa', url='https://api.twitter.com/1.1/geo/id/84229b03659050aa.json', place_type='city', name='Virginia Beach', full_name='Virginia Beach, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000252C547C940>, type='Polygon', coordinates=[[[-76.22808, 36.672684], [-75.9118121, 36.672684], [-75.9118121, 36.932399], [-76.22808, 36.932399]]]), attributes={})"
2022-03-24 22:27:45+00:00,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA",RT @Visita_Cortesia: Puente de mando del Sayremar Uno expuesto en los jardines del @MuseuMaritim de Barcelona. https://t.co/DqAwuL13Tg,es,,['https://pbs.twimg.com/media/FOocHmsXsAMhMzD.jpg'],
2022-03-24 04:51:14+00:00,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA",https://t.co/xIXIdumK0P,und,,['https://pbs.twimg.com/ext_tw_video_thumb/1506856091409432582/pu/img/JdOnzmkwxR3mD7Qf.jpg'],
2022-03-24 04:28:55+00:00,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA",@Fotogmike https://t.co/A1a8wrEwDS,und,,['https://pbs.twimg.com/ext_tw_video_thumb/1506850476444299264/pu/img/xqdyDv-D6WjAFAa_.jpg'],"Place(_api=<tweepy.api.API object at 0x00000252C547C940>, id='2f5f5ba43ec2f5a9', url='https://api.twitter.com/1.1/geo/id/2f5f5ba43ec2f5a9.json', place_type='city', name='Hampton', full_name='Hampton, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000252C547C940>, type='Polygon', coordinates=[[[-76.451006, 36.989568], [-76.273546, 36.989568], [-76.273546, 37.112225], [-76.451006, 37.112225]]]), attributes={})"
2022-03-24 02:39:22+00:00,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA",https://t.co/CnL2zGOJVn,und,,['https://pbs.twimg.com/ext_tw_video_thumb/1506822908232052743/pu/img/ZCiUp8VjOcJiGzE-.jpg'],
2022-03-23 17:34:43+00:00,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA","The HSL NIKE, IMO:9301457 en route to New York, flying the flag of Liberia 🇱🇷. #HSLNike #ContainerShip #ShipsInPics https://t.co/y2TqqUhJUX",en,"['HSLNike', 'ContainerShip', 'ShipsInPics']",['https://pbs.twimg.com/media/FOjS1FAXsAMl-cl.jpg'],"Place(_api=<tweepy.api.API object at 0x00000252C547C940>, id='84229b03659050aa', url='https://api.twitter.com/1.1/geo/id/84229b03659050aa.json', place_type='city', name='Virginia Beach', full_name='Virginia Beach, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000252C547C940>, type='Polygon', coordinates=[[[-76.22808, 36.672684], [-75.9118121, 36.672684], [-75.9118121, 36.932399], [-76.22808, 36.932399]]]), attributes={})"
2022-03-23 17:13:30+00:00,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA",RT @Visita_Cortesia: Corbeta Barroso brasileña en el puerto de Barcelona el 23 de marzo de 2018. https://t.co/713ckgTZLJ,es,,['https://pbs.twimg.com/media/FOjM1lhXwAkvpeC.jpg'],
