created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-27 16:25:29+00:00,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","#Plantaginaceae
#Antirrhinum litigiosum Pau / Dragoncillo. https://t.co/zzXC30iS5M",ca,"['Plantaginaceae', 'Antirrhinum']",['https://pbs.twimg.com/media/FO3pVVmX0AUBPQF.jpg'],
2022-03-27 11:14:10+00:00,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Les Cases de l'Onyar #Girona
https://t.co/GF4YI3dybV https://t.co/dHxy0Y2Qu3",ca,['Girona'],['https://pbs.twimg.com/media/FO2iCpYXsAAoPkm.jpg'],
2022-03-26 11:23:20+00:00,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Dársena Nacional del Puerto de Barcelona
https://t.co/T4yKAcT7Oq https://t.co/GWPwlNgSgm",es,,['https://pbs.twimg.com/media/FOxak9mWUAAVX2E.jpg'],
2022-03-24 06:42:32+00:00,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Parque Güell. El 'árbol seco' del viaducto.
https://t.co/zKz0D2DmFp https://t.co/CBrooFKm30",es,,['https://pbs.twimg.com/media/FOmHCriWYAE77qz.jpg'],
2022-03-23 06:28:57+00:00,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Costa Quebrada
https://t.co/eCUNZxjYQi https://t.co/0GqLVfIrL3",es,,['https://pbs.twimg.com/media/FOg6alnWQAY7a_b.jpg'],
2022-03-21 18:26:08+00:00,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","NEW CENTURY #IMO8975031 #MegaYacht 🇮🇲 built in 1997 by Heesen Shipyards, Oss (NLD) 📷 Valencia on 03/10/2006⚓ https://t.co/OmoN6itUhu",en,"['IMO8975031', 'MegaYacht']",['https://pbs.twimg.com/media/FOZLafwXEA0SlB-.jpg'],
2022-03-21 12:13:28+00:00,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Torre de Santa Catalina 📷 16/03/2022
https://t.co/RJtC1ycaqN https://t.co/9LNNZNN3UW",ca,,['https://pbs.twimg.com/media/FOX2GeWXsAM2lvc.jpg'],
2022-03-20 06:42:20+00:00,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","NAUTA #MegaYacht 🇬🇧 built in 2001 by Baglietto, La Spezia (ITA) 📷 Valencia on 01/06/2007⚓ https://t.co/KU9zWHMd4q",it,['MegaYacht'],['https://pbs.twimg.com/media/FORgsOYWYAAStYj.jpg'],
2022-03-19 17:22:17+00:00,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Atardecer en el cauce del Turia
#Valencia 📷31/08/2014 https://t.co/Vf00w89jRu",es,['Valencia'],['https://pbs.twimg.com/media/FOOpmUJXIAE5rWb.jpg'],
2022-03-18 11:09:01+00:00,ManuelHdezLaf,"Capitán de la Marina Mercante, jubilado. Fotografía. Solo fotos tomadas por mi. Captain of the Merchant Navy, retired. All photographs are taken by me.","Valencia, España","Valencia #Fallas2022 
Star Wars https://t.co/dHHj0TDgS8",en,['Fallas2022'],['https://pbs.twimg.com/media/FOIKimTXEAI8bce.jpg'],
