created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2021-04-22 21:19:36+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",Shoalbuster 3514 BRUTUS seen on DP trials at the Haringvliet 22/02/2021. https://t.co/sWTH1sTcwr,en,,['https://pbs.twimg.com/media/Ezm5sn0WUAEM36b.jpg'],
2020-01-25 11:12:27+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",Today exactly 33 years ago: tanker OLYMPIC DREAM on fire after a collision with O-O carrier AUGUST THYSSEN. https://t.co/pT0OwqnwMP,en,,['https://pbs.twimg.com/media/EPH2iahX0AAB5kE.jpg'],
2019-09-12 18:56:32+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",MULTRATUG 4 seen 12/09/2019 arriving at Flushing roads towing coaster PANTA RHEI. @Multraship https://t.co/jTtnjrsoqr,en,,['https://pbs.twimg.com/media/EESSIO1WkAASUG9.jpg'],
2019-05-17 08:58:37+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",Nice to see our image of BOKALIFT 1 as coverphoto on the latest Offshore Wind vessel directory 2018. https://t.co/310Qt6unJp,en,,['https://pbs.twimg.com/media/D6wdrUYX4AA4BoK.jpg'],
2019-05-16 21:55:19+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",French cruiseliner LE BOREAL seen passing Flushing boulevard on her way to Newcaste. https://t.co/nYJMW8Fjbe,en,,['https://pbs.twimg.com/media/D6uF2-_W0AAGQLt.jpg'],
2019-04-08 20:10:42+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",Hebo / Multraship managed to lift the remaining part of the CARDIUM @multraship #wreck #hebo https://t.co/4omLFBzpMe,en,"['wreck', 'hebo']",['https://pbs.twimg.com/media/D3qBf-OXsAgwLB1.jpg'],
2019-01-27 11:07:38+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",https://t.co/4r7qHlXCs9,und,,['https://pbs.twimg.com/media/Dx6cUbEXQAAkYPC.jpg'],
2019-01-15 20:13:16+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",The remains of the UNOCAL Q1 HALFWEG platform at the Hoondert scrapyard 12/01/2019. @schuttevaer #offshore https://t.co/Pljxt80G1d,en,['offshore'],['https://pbs.twimg.com/media/Dw-mIhAWoAU1N3-.jpg'],
2019-01-04 12:24:20+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",GIANT 7 lighting up like an X-Mas tree at Flushing roads while engaged in cable operations for the Borssele OWF. https://t.co/04Cmz35Wor,en,,['https://pbs.twimg.com/media/DwERJ_dWoAEgK_u.jpg'],
2018-08-31 05:41:38+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",Flushing-Breskens ferry KONINGIN BEATRIX seen leaving the building-dock after being christened 31-08-1993. https://t.co/VNDQS24bN4,en,,['https://pbs.twimg.com/media/Dl580oMXgAA5QYY.jpg'],
2018-08-22 19:07:24+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",Newbuild tug ATLAS (Damen ASD Tug 2411) seen leaving Stellendam for trials. https://t.co/MrXFy5SbJq,en,,['https://pbs.twimg.com/media/DlOe8AQWwAAauCt.jpg'],
