created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-25 07:49:23+00:00,MaritimePhotos,Freelance photographer providing creative imagery with a nautical twist. I also specialise in 360° panoramas.  Naval writer for Ships Monthly magazine.,"Portsmouth, England","Maiden call of @BrittanyFerries @PortsmouthPort
 new LNG powered ferry #Salamanca #Portsmouth #ferrynews https://t.co/SaPZefqzsr",en,"['Salamanca', 'Portsmouth', 'ferrynews']",['https://pbs.twimg.com/media/FOrf-taX0AE2Uwg.jpg'],
2022-03-21 08:25:27+00:00,MaritimePhotos,Freelance photographer providing creative imagery with a nautical twist. I also specialise in 360° panoramas.  Naval writer for Ships Monthly magazine.,"Portsmouth, England",Bonjour and good morning! @BrittanyFerries #Barfleur @PortsmouthPort #ferry https://t.co/wG5ZCLrECq,en,"['Barfleur', 'ferry']",['https://pbs.twimg.com/media/FOXBU_fXEAA4pjg.jpg'],
2022-03-21 08:21:18+00:00,MaritimePhotos,Freelance photographer providing creative imagery with a nautical twist. I also specialise in 360° panoramas.  Naval writer for Ships Monthly magazine.,"Portsmouth, England",The @VirginVoyages #ValiantLady returning @PortsmouthPort from maiden cruise today. #Portsmouth https://t.co/VJ8iM8qjO8,en,"['ValiantLady', 'Portsmouth']",['https://pbs.twimg.com/media/FOXAtgNXoAIz7pB.jpg'],
2022-03-11 13:05:13+00:00,MaritimePhotos,Freelance photographer providing creative imagery with a nautical twist. I also specialise in 360° panoramas.  Naval writer for Ships Monthly magazine.,"Portsmouth, England",Arrival of @RFAWaveKnight for lay-up. #Portsmouth @SercoGroup https://t.co/c8DEIn2v93,en,['Portsmouth'],['https://pbs.twimg.com/media/FNkhe_pWUAEuZJu.jpg'],
2022-03-10 09:26:14+00:00,MaritimePhotos,Freelance photographer providing creative imagery with a nautical twist. I also specialise in 360° panoramas.  Naval writer for Ships Monthly magazine.,"Portsmouth, England",Back to sea for @HMSQNLZ. Both RN aircraft carriers are now underway. @SercoGroup #Portsmouth https://t.co/tT5FBQWyHK,en,['Portsmouth'],['https://pbs.twimg.com/media/FNel5KeXIAEcBKx.jpg'],
2022-03-01 09:04:13+00:00,MaritimePhotos,Freelance photographer providing creative imagery with a nautical twist. I also specialise in 360° panoramas.  Naval writer for Ships Monthly magazine.,"Portsmouth, England",Maiden UK call of @VirginVoyages #ValiantLady @PortsmouthPort #cruise #newcruiseship #Portsmouth https://t.co/fk2m4HBw9l,en,"['ValiantLady', 'cruise', 'newcruiseship', 'Portsmouth']",['https://pbs.twimg.com/media/FMwKncUXwAILGbi.jpg'],
2022-02-25 13:40:54+00:00,MaritimePhotos,Freelance photographer providing creative imagery with a nautical twist. I also specialise in 360° panoramas.  Naval writer for Ships Monthly magazine.,"Portsmouth, England",That's @hmsdiamond deploying for the eastern Mediterranean today. #Portsmouth https://t.co/l7J9hihd7t,en,['Portsmouth'],['https://pbs.twimg.com/media/FMcjfvhXMAI-rcg.jpg'],
2022-02-24 18:18:22+00:00,MaritimePhotos,Freelance photographer providing creative imagery with a nautical twist. I also specialise in 360° panoramas.  Naval writer for Ships Monthly magazine.,"Portsmouth, England",Nice to see @BrittanyFerries #Barfleur back in service after a long lay up due to covid. @PortsmouthPort https://t.co/PDU7gpNgrp,en,['Barfleur'],['https://pbs.twimg.com/media/FMYZY3qWYAIrQ29.jpg'],
2022-02-04 15:34:56+00:00,MaritimePhotos,Freelance photographer providing creative imagery with a nautical twist. I also specialise in 360° panoramas.  Naval writer for Ships Monthly magazine.,"Portsmouth, England",The @NATO Response Force Task Group flagship @HMSPWLS returning home today. #Portsmouth  @SercoGroup https://t.co/pxE9j5gLhF,en,['Portsmouth'],['https://pbs.twimg.com/media/FKw0U20XwAobvqU.jpg'],
2022-01-30 19:51:06+00:00,MaritimePhotos,Freelance photographer providing creative imagery with a nautical twist. I also specialise in 360° panoramas.  Naval writer for Ships Monthly magazine.,"Portsmouth, England",Maiden UK call of #EverAlp one of the world's largest container carriers @harwichhaven #Evergreen @SvitzerGlobal https://t.co/n5C6t7kaQ3,en,"['EverAlp', 'Evergreen']",['https://pbs.twimg.com/media/FKX-VQpXoAA_zTy.jpg'],
