created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-28 17:43:58+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@hms_pembroke outbound on the Clyde today.

VIa @SheilaLWeir https://t.co/jtJevvDMNP",en,,['https://pbs.twimg.com/media/FO9ExbvXEAQtxTk.jpg'],
2022-03-28 16:12:13+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"Latest news commentary:

Assessing Russia’s first major naval loss of the war in Ukraine

https://t.co/YUDYbc9lz1 https://t.co/BR4dHMORpg",en,,['https://pbs.twimg.com/media/FO8t2R3XsAgiBiQ.jpg'],
2022-03-28 09:28:09+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSQNLZ sails from Liverpool this morning 

Via @Streetgang42 https://t.co/QEiUr5DAp2",en,,['https://pbs.twimg.com/media/FO7TZ9QXEAULrqX.jpg'],
2022-03-28 09:25:48+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@hms_tyne outbound from Devonport for more @FOST serials this morning.

Via @defenceimagesuk https://t.co/bhARh3mZ0l",en,,['https://pbs.twimg.com/media/FO7S3k7XEAgxfmj.jpg'],
2022-03-28 09:09:57+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"P2000s @HMS_Smiter @HMSExplorer @HMSArcher sail from Devonport this morning

Via @defenceimagesuk https://t.co/9eYPUwfOU2",en,,['https://pbs.twimg.com/media/FO7PItPXwAApe1W.jpg'],
2022-03-28 09:06:58+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Westminster outbound from Portsmouth this morning.

Via @georgeemmett8 https://t.co/ryf5aNWjKQ",en,,['https://pbs.twimg.com/media/FO7OimZXIAMXNTl.jpg'],
2022-03-27 17:13:05+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,Impressive drone footage by @stratusimagery of @HMSQNLZ arriving in Liverpool this week https://t.co/zEWrSNOeTv,en,,['https://pbs.twimg.com/ext_tw_video_thumb/1508129919322177536/pu/img/GNIeALNRtJS5HFE4.jpg'],
2022-03-27 16:33:27+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSScottRN sails from Devonport this afternoon - heading for maintenance period in Falmouth.

Via @defenceimagesuk https://t.co/ebQaeXK8a1",en,,['https://pbs.twimg.com/media/FO3rHONWQA8pEep.jpg'],
2022-03-27 13:21:07+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"🇫🇷French Fishery Protection OPV FS Pluvier sailed from Portsmouth this morning.

Via @PortsmouthProud https://t.co/fiDvyquNYn",en,,['https://pbs.twimg.com/ext_tw_video_thumb/1508071316909395976/pu/img/Smny3JwewSt0_9Ll.jpg'],
2022-03-27 08:07:36+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"🇳🇱HNLMS Snellius @kon_marine alongside at Northumbrian Quay, Port of Tyne yesterday. 

Via @NormTyne https://t.co/jDcgXxOEFG",en,,['https://pbs.twimg.com/media/FO13YO3X0Aoi3IP.jpg'],
2022-03-27 07:44:22+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@hmssevern and @HMSDuncan alongside in Portsmouth yesterday.

Via @RNPics_ https://t.co/UuDnoNiy3g",en,,['https://pbs.twimg.com/media/FO1yDBfXEAMOCS1.jpg'],
2022-03-27 07:40:21+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"MV Hartland Point inbound to Devonport this morning.

https://t.co/JX21scEpEY

Via @defenceimagesuk https://t.co/PLTmemysaP",en,,['https://pbs.twimg.com/media/FO1wzvFXEAABGHe.jpg'],
2022-03-27 06:52:45+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,RT @hms_tamar: Happy Mother's Day to the Mums of #TeamTAMAR from the far side of the World! 🦁⚓️🇬🇧 https://t.co/Uk58RyVVb7,en,['TeamTAMAR'],['https://pbs.twimg.com/media/FO1kA_QXoAAI2YL.jpg'],
2022-03-26 20:58:51+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"“impressive navel kit” 🙂

https://t.co/cmuMDFaTwb https://t.co/O0bG00bSyg",en,,['https://pbs.twimg.com/media/FOzdo2mXIAATHjx.jpg'],
2022-03-26 15:32:49+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@RFAWaveKnight tucked up in 3 Basin, Portsmouth - her home for the foreseeable future.

Via @RNPics_ https://t.co/0w8TvLWSNe",en,,['https://pbs.twimg.com/media/FOyTr-2X0AAnHDC.jpg'],
2022-03-26 15:15:29+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,Wildcat lands on @HMSDefender during exercise #ColdResponse22 https://t.co/3aTYA0UEVZ,en,['ColdResponse22'],['https://pbs.twimg.com/ext_tw_video_thumb/1507737593282281478/pu/img/1ZbgbkzNSl7K3QBd.jpg'],
2022-03-26 09:37:23+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Echo outbound from Devonport this morning.

VIa @defenceimagesuk https://t.co/JzUB8snhMn",en,,['https://pbs.twimg.com/media/FOxCLtKXMAAS7NA.jpg'],
2022-03-26 09:12:06+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,.@HMSSomerset - back to sea this week https://t.co/VFwgyniRiT,en,,['https://pbs.twimg.com/ext_tw_video_thumb/1507645606734573570/pu/img/Fwfktv4gNCRPnAQl.jpg'],
2022-03-26 08:25:17+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@hms_tyne outbound from Devonport this morning.

Via @defenceimagesuk https://t.co/N1JKW1sGXz",en,,['https://pbs.twimg.com/media/FOwxqnoXMAM728o.jpg'],
2022-03-25 16:10:02+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,.@HMSPWLS replenishment at sea with @RFATidesurge during operations off 🇳🇴Norwegian coast #ColdResponse22 #NATO https://t.co/tZUUbhvM2L,en,"['ColdResponse22', 'NATO']",['https://pbs.twimg.com/media/FOtSQR1XIB4FkV8.jpg'],
2022-03-25 12:27:08+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"@MarineNationale @PortsmouthProud @georgeemmett8 Followed by OPV 🇫🇷FS Pluvier 

Via @georgeemmett8 https://t.co/ArETzsRaMZ",en,,['https://pbs.twimg.com/media/FOsflAzXMAcNrV6.jpg'],
2022-03-25 12:26:16+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,@MarineNationale @PortsmouthProud Via @georgeemmett8 https://t.co/rV1Q8rehiC,und,,['https://pbs.twimg.com/media/FOse9UdWUAMxvxW.jpg'],
2022-03-25 12:18:31+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@MarineNationale 🇫🇷 training ships FS Guepard and FS Lion arrived in Portsmouth today.

Via @PortsmouthProud https://t.co/zF7Ff9DqVV",en,,['https://pbs.twimg.com/ext_tw_video_thumb/1507330771476008965/pu/img/7Q62mjXko9bjSozv.jpg'],
2022-03-25 09:30:32+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,Sea boat launched from @RFAArgus during man overboard exercise (MOBEX) https://t.co/M2DUEpD5i1,en,,['https://pbs.twimg.com/ext_tw_video_thumb/1507288289375567873/pu/img/Oi-sb7ak2Pz8njqk.jpg'],
2022-03-25 09:01:44+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"Great images from @hms_tamar on exercise #BersamaShield2022 with #FPDA partners  
🇸🇬🇦🇺🇲🇾🇳🇿🇬🇧 https://t.co/JdvLRYfHbj",en,"['BersamaShield2022', 'FPDA']",['https://pbs.twimg.com/media/FOrwbYqXwDAJmFq.jpg'],
2022-03-24 18:53:21+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSPortland arriving at 🇺🇸Naval Station Mayport, Florida today.

H/T @WarshipCam https://t.co/EfVw2LnAwF",en,,['https://pbs.twimg.com/media/FOouTaOXMAUlDhc.jpg'],
2022-03-24 16:44:52+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,@HMSQNLZ @CruiseLpool @InceptionTimeRB Via @ActivateDgtl https://t.co/WFyAuNX84H,und,,['https://pbs.twimg.com/media/FOoQ2duXwAY6uB_.jpg'],
2022-03-24 15:42:56+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSQNLZ arrived alongside at @CruiseLpool this afternoon

Via: @InceptionTimeRB https://t.co/iEzm88sO99",en,,['https://pbs.twimg.com/media/FOoC0PzVsAU_bO4.jpg'],
2022-03-24 14:11:04+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"Twitter account for the new National Shipbuilding Office (NSO) @UK_NSO

Led by R/Adm Rex Cox 

H/T @navalhistorian https://t.co/p1AuM5xHXz",en,,['https://pbs.twimg.com/media/FOntpSPWQAUcEA6.jpg'],
2022-03-24 12:07:05+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,.@HMSNORT conducts a RAS with @RFATidesurge during exercise #ColdResponse22 https://t.co/c7jA4jbi4p,en,['ColdResponse22'],['https://pbs.twimg.com/media/FOnRaD-WYAgCvad.jpg'],
2022-03-24 12:02:58+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"RT @HMS_Richmond: @HMS_Richmond has arrived in the Arctic Circle to join #ColdResponse22.

#WeAreNATO https://t.co/UB0reJthlp",en,"['ColdResponse22', 'WeAreNATO']",['https://pbs.twimg.com/media/FOnO_ZaWUAouKqg.jpg'],
2022-03-24 10:32:28+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"@HMS_Echo @Rockhoppas Followed by MV Hurst Point, also heading out from Devonport this morning.

Via @Rockhoppas https://t.co/zePoqFccGp",en,,['https://pbs.twimg.com/media/FOm7vomWYAUFHB9.jpg'],
2022-03-24 10:17:27+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Echo outbound from Devonport this morning

Via @Rockhoppas https://t.co/NTcRKMtqYP",en,,['https://pbs.twimg.com/media/FOm3hncWUAIiq1l.jpg'],
2022-03-24 07:52:38+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"Fully de-stored @RFAWaveKnight moved into 3 Basin in Portsmouth yesterday for long-term lay up.

Via @AWenham1 https://t.co/ntteMQJ1ZC",en,,['https://pbs.twimg.com/media/FOmXIImXoAMigPP.jpg'],
2022-03-23 17:01:01+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"🇩🇪FGS Schleswig-Holstein inbound to sunny Devonport this afternoon

Via @TomLeachPhotos @Rockhoppas https://t.co/v8QM2NDfaV",en,,['https://pbs.twimg.com/media/FOjLDkCWQAU5pfZ.jpg'],
2022-03-23 16:53:47+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSEnterprise alongside in sunny Hartlepool today.

Photo: Lee Bullivant https://t.co/rk07KY8h3E",en,,['https://pbs.twimg.com/media/FOjJXVAXoAYen8z.jpg'],
2022-03-23 15:05:04+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,@HMSQNLZ @RFATiderace https://t.co/VbNwzvbhmg,und,,['https://pbs.twimg.com/ext_tw_video_thumb/1506648172743036929/pu/img/SDO6jYx5aWRo0Ynf.jpg'],
2022-03-23 13:00:04+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,.@hms_tamar conducts PASSEX with Royal Brunei Navy OPV KDB Daruleshsan off 🇧🇳Brunei last week https://t.co/W4QHBMXXjT,en,,['https://pbs.twimg.com/media/FOiTm-1XsAMh0Mz.jpg'],
2022-03-23 07:56:37+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,.@HMSQNLZ conducts her first replenishment at sea of this year with @RFATiderace https://t.co/fVzw2m2Fhq,en,,['https://pbs.twimg.com/ext_tw_video_thumb/1506540350944518147/pu/img/YkwBATU56_HktfZR.jpg'],
2022-03-22 18:39:56+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"Latest article:

The National Shipbuilding Strategy and the future of the Royal Navy

https://t.co/B0f98vSl37 https://t.co/z3Wj2ycPUT",en,,['https://pbs.twimg.com/media/FOeYJlpXMAcDcHk.jpg'],
2022-03-22 15:53:42+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Westminster at anchor in Plymouth Sound this afternoon.

Via @Rockhoppas https://t.co/01IhtmFZvT",en,,['https://pbs.twimg.com/media/FOdyHDkXEAItyGz.jpg'],
2022-03-22 14:12:57+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSEnterprise alongside in Hartlepool this week.

Photo: Lee Bullivant https://t.co/Y4gncZ6rPW",en,,['https://pbs.twimg.com/media/FOdbCnYXsBIUDxw.jpg'],
2022-03-22 08:05:17+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,.@RFAArgus Sailed from Devonport last night https://t.co/plzADFUFQG,en,,['https://pbs.twimg.com/media/FOcG4e6XsAQGNi4.jpg'],
2022-03-21 19:19:50+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Echo arrives in Devonport this afternoon

Via: Piran Smith https://t.co/vQBD1X0sL1",en,,['https://pbs.twimg.com/media/FOZXs5EXsAAppwA.jpg'],
2022-03-21 19:15:33+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"MV Hurst Point arrives in Devonport this afternoon.

Via: Piran Smith https://t.co/2H4QWYn3tJ",en,,['https://pbs.twimg.com/media/FOZWs8-XsAQ_n6N.jpg'],
2022-03-21 17:26:32+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@hmsdiamond has sailed from 🇬🇷Piraeus after weekend visit.

#SNMG2 #NATO https://t.co/MpTJwaEzOT",en,"['SNMG2', 'NATO']",['https://pbs.twimg.com/media/FOY9mvSXEBEguc-.jpg'],
2022-03-21 17:21:37+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSTyne inbound to Devonport this afternoon.

@RFACardiganBay at buoy in Plymouth Sound 

Via @Rockhoppas https://t.co/ozieDk90oq",en,,['https://pbs.twimg.com/media/FOY8o1SWYAMgfhT.jpg'],
2022-03-21 14:27:19+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@hmssevern outbound from Portsmouth today.

Via @georgeemmett8 https://t.co/6w6b8dYXe5",en,,['https://pbs.twimg.com/media/FOYUuaOWQAEyh3z.jpg'],
2022-03-21 14:21:57+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"🇫🇷French Gendarmerie patrol boat Athos heading down the Thames after visit to London. 

Via  @jason_photos https://t.co/mvb4lCz0f8",en,,['https://pbs.twimg.com/media/FOYTdOuXEAALa2p.jpg'],
2022-03-21 12:02:36+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,RT @HMS_Richmond: @HMS_Richmond conducts a short logistical reset alongside Stavanger 🇳🇴. https://t.co/hwhb3HxoND,en,,['https://pbs.twimg.com/media/FOXyjuyXMAIHseI.jpg'],
2022-03-21 11:57:16+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Westminster outbound from Portsmouth again this morning.

Via @PortsmouthProud https://t.co/M5lkGt9AEs",en,,['https://pbs.twimg.com/ext_tw_video_thumb/1505876010851610625/pu/img/_HGlU3Eo9Gki36l2.jpg'],
2022-03-21 10:04:24+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSLANCASTER outbound from Devonport this morning

Via @Rockhoppas https://t.co/5oZ6ZKFRXJ",en,,['https://pbs.twimg.com/media/FOXYakdXsAQWm4Q.jpg'],
2022-03-20 16:46:46+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@hms_tyne at anchor in Cawsand Bay this weekend.

via @TomLeachPhotos https://t.co/GqaLVwdqLo",en,,['https://pbs.twimg.com/media/FOTq20SWQAIL6lf.jpg'],
2022-03-20 16:43:53+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@RFATiderace at anchor off St Peter Port, Guernsey this weekend.

Via @karlwilkins https://t.co/g1jJFPPFBQ",en,,['https://pbs.twimg.com/media/FOTqKPEWQAAf_tu.jpg'],
2022-03-20 12:50:46+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Richmond passes under the Great Belt Bridge, 🇩🇰Denmark https://t.co/XE5HtsPTvq",en,,['https://pbs.twimg.com/media/FOS057aXwAIHdGQ.jpg'],
2022-03-20 08:12:29+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSDragon major refit begins which will include new engines (PIP).

Back at sea in around 3 years

Via @AWenham1 https://t.co/pk2HAxe89y",en,,['https://pbs.twimg.com/media/FOR1PGfXMAI83m_.jpg'],
2022-03-19 20:54:10+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@hmsdiamond alongside in Piraeus 🇬🇷

Via @noviblokovi https://t.co/hr8bw4Sw3G",in,,['https://pbs.twimg.com/media/FOPaG-xXwAUiTsA.jpg'],
2022-03-19 10:30:46+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"@HmsShoreham @SheilaLWeir .@HmsShoreham alongside in Bangor, Northern Ireland this morning 

Via @ethompson_x https://t.co/C0eDaoIwbU",en,,['https://pbs.twimg.com/media/FONLX2RXsAMbteF.jpg'],
2022-03-19 10:28:42+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HmsShoreham on the Clyde Yesterday

Via @SheilaLWeir https://t.co/PCCbXsKFCh",en,,['https://pbs.twimg.com/media/FONK9QQXwAIPkA7.jpg'],
2022-03-19 09:41:06+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,RT @RN_engineers: RN ‘Gun-Busters’ working hard to replace a Kevlar Mantle Bag on the Barrel of @hms_kent 4.5 gun https://t.co/7eXROprdU8,en,,['https://pbs.twimg.com/media/FOM_GVYWYAAMbie.jpg'],
2022-03-19 07:39:32+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"Further flight testing of Wildcat carrying 20 Martlet missiles -seen over Somerset yesterday. 

Via @GbhvfRon https://t.co/FziDV8479g",en,,['https://pbs.twimg.com/media/FOMkMLkXEAEF92G.jpg'],
2022-03-18 16:47:07+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"@HMSQNLZ @wolfie250 Outbound on Loch Long

Via @SheilaLWeir https://t.co/rr6SprYnsO",en,,['https://pbs.twimg.com/media/FOJX-nSX0AU7gm3.jpg'],
2022-03-18 15:00:04+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,"🇧🇪 BNS ‘Leopold I’ arrives in Portsmouth this afternoon.

Via @RNPics_ @scottyc298 @AWenham1 https://t.co/dWWcG2FarN",en,,['https://pbs.twimg.com/media/FOI9-VWXIAE4M5_.jpg'],
2022-03-18 14:36:26+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSQNLZ completed munitions loading and departing from Glen Mallan this afternoon.

Via @wolfie250 https://t.co/30KzgHCbei",en,,['https://pbs.twimg.com/media/FOI57-XXEAQKl1o.jpg'],
2022-03-18 12:32:59+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@kon_marine 🇳🇱HNLMS Tromp arrives in Portsmouth this morning 

Via @scottyc298 @RNPics_ https://t.co/yxDnbNn6J2",en,,['https://pbs.twimg.com/media/FOIdxN7XoAE2_Dv.jpg'],
2022-03-18 11:33:27+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,@HMS_Westminster @PortsmouthProud Via @RNPics_ @scottyc298 https://t.co/XBpcJFegYg,und,,['https://pbs.twimg.com/media/FOIP0QoXMA04HgR.jpg'],
2022-03-18 11:27:26+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Westminster returns to Portsmouth this morning after brief post-maintenance shakedown.

Via @PortsmouthProud https://t.co/KNbHvUCGa2",en,,['https://pbs.twimg.com/ext_tw_video_thumb/1504781361953058818/pu/img/MLnmdAQEngA4R0Ya.jpg'],
2022-03-18 08:08:53+00:00,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Westminster sailed from Portsmouth yesterday on completion of maintenance period.

Via @AWenham1 https://t.co/9o5a2VP7aP",en,,['https://pbs.twimg.com/media/FOHhWtMWYCIZZqp.jpg'],
