created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-28 16:22:43+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain",RT @palmers_arie: feel welcome this week!! https://t.co/ODH4YJzk5V,en,,['https://pbs.twimg.com/media/FO75H6HXwAgkF33.jpg'],
2022-03-28 10:25:43+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Tenacia berthed Sur dock, Valencia port. 
https://t.co/fIf9uTCiqc https://t.co/5L3WORgVxU",en,,['https://pbs.twimg.com/media/FO7girmXsAEzJYt.jpg'],
2022-03-28 10:07:37+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain",RT @gwyfaz: Pilots disembarking the HMS Queen Elizabeth @jslateruk @LiverpoolPilots https://t.co/2kQjgp0sVt,en,,['https://pbs.twimg.com/ext_tw_video_thumb/1508377507703267331/pu/img/X4yM-DFCEikuHSXo.jpg'],
2022-03-28 09:34:18+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Scrubber MSC Brianna outbound Valencia port.
https://t.co/hqXYjsOvLz https://t.co/FgxooqZNAz",en,,['https://pbs.twimg.com/media/FO7U0PyXIAo0xbg.jpg'],
2022-03-28 07:18:26+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","MSC Mia and MSC Brianna berthed MSC Terminal, Valencia port. 
https://t.co/0Qf2zZLpPG https://t.co/6K11XbzKL9",ht,,['https://pbs.twimg.com/media/FO61uFqXsAUFEaC.jpg'],
2022-03-28 07:02:08+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Energy and Bahia Uno bunker operations, Valencia port. 
https://t.co/WhBxBMXhdb https://t.co/kx6C7gbx4U",en,,['https://pbs.twimg.com/media/FO6x_OyXMAY_s-D.jpg'],
2022-03-27 18:01:13+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Pilot and master Cosco Harmony berthing CSP Iberian Terminal, Valencia port. 
https://t.co/3W5s2myKhm https://t.co/wPh94kZnFc",en,,['https://pbs.twimg.com/media/FO3_QJyXsAsxwJf.jpg'],
2022-03-27 17:23:53+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Pindo berthed Temagra Terminal Sur dock, Valencia port. 
https://t.co/gVjLL9pHPj https://t.co/N74RqNg6Jr",pt,,['https://pbs.twimg.com/media/FO32tSAXsAUGs0u.jpg'],
2022-03-27 16:50:17+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","CMA CGM Titan berthed CSP Iberian Terminal, Valencia port. 
https://t.co/EYNHArK1j3 https://t.co/IoYkXFMJsn",in,,['https://pbs.twimg.com/media/FO3vBKSXEAgcGE8.jpg'],
2022-03-27 15:51:00+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Ciudad de Palma berthed Valencia port. 
https://t.co/kQjjZ0n8Nt https://t.co/uCNQwMI0p8",es,,['https://pbs.twimg.com/media/FO3haLWXEAMgMxw.jpg'],
2022-03-27 15:27:34+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","VB Sidi working Valencia port. 
https://t.co/QOYKbeA8tE https://t.co/5lySVIfl27",et,,['https://pbs.twimg.com/media/FO3cFHPWQAIDMnU.jpg'],
2022-03-26 19:43:24+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Tug station Sines port. 
https://t.co/wcEekLVAWQ https://t.co/vKDdgdu2Z7",fr,,['https://pbs.twimg.com/media/FOzNDNSXMAI-aEK.jpg'],
2022-03-26 19:18:07+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Poseidon working Sines port. 
https://t.co/i5no12Py9f https://t.co/ioAzqgg5k2",en,,['https://pbs.twimg.com/media/FOzHQ7fXIAkED01.jpg'],
2022-03-26 18:59:11+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Norma berthed Sines port. 
https://t.co/ShKuGlAaOL https://t.co/LA2Ufyx8jk",et,,['https://pbs.twimg.com/media/FOzC7aSXMAEbDTy.jpg'],
2022-03-26 18:43:33+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Artic Discoverer outbound Sines port. 
https://t.co/g1j9fxBkNv https://t.co/8EkP3z3C7s",en,,['https://pbs.twimg.com/media/FOy_WnGXMAIpOgf.jpg'],
2022-03-26 18:28:58+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Castelo de Sines underway service Sines port. 
https://t.co/lOxKcldDBf https://t.co/7UfFyu26aJ",es,,['https://pbs.twimg.com/media/FOy8A5LWQAA_gEl.jpg'],
2022-03-26 18:12:41+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Trajano inbound fishing port, Sines. 
https://t.co/tm85wlSGBq https://t.co/D2gj99xtIZ",en,,['https://pbs.twimg.com/media/FOy4SKNXwA4XU_t.jpg'],
2022-03-26 14:14:51+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Rola do Mar underway Sétubal bay. 
https://t.co/jFheDamR6S https://t.co/rEUh0qzwCb",cy,,['https://pbs.twimg.com/media/FOyB2ClXoAcPtOx.jpg'],
2022-03-26 13:58:17+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Wilson Holla berthed Sétubal port. 
https://t.co/hXHdVFMsc7 https://t.co/1vUMnLQfIj",cy,,['https://pbs.twimg.com/media/FOx-CP-WQAIKEGw.jpg'],
2022-03-25 19:36:12+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Nysted Maersk, Luna Maersk and Marseille Maersk berthed APM Terminal, Algeciras port. 
https://t.co/YFJDNPFi8B https://t.co/q07k6cUnED",da,,['https://pbs.twimg.com/media/FOuBz8aX0Ag2Pkw.jpg'],
2022-03-25 14:56:13+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain",RT @JuanGMata: Dique norte del Puerto de Algeciras. #Calima https://t.co/byqaflsXq6,es,['Calima'],['https://pbs.twimg.com/media/FOp2KCtXIAMsb8z.jpg'],
2022-03-25 14:56:06+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","RT @JuanGMata: Terminal APM, Puerto de Algeciras. #Calima https://t.co/sOyjTTDS6m",es,['Calima'],['https://pbs.twimg.com/media/FOp2SBhXIAIxfcT.jpg'],
2022-03-25 14:55:56+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","RT @JuanGMata: ""Polar Brasil"" atracado en la terminal APM del Puerto de Algeciras #calima https://t.co/AckXs6mzd3",es,['calima'],['https://pbs.twimg.com/media/FOp1MPnXoAgfvjF.jpg'],
2022-03-25 14:55:25+00:00,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain",RT @JuanGMata: Eleanor Roosevelt en el muelle norte de Algeciras. #Calima https://t.co/IZH9AFxxRl,es,['Calima'],['https://pbs.twimg.com/media/FOp1o-mWUAERKPd.jpg'],
