created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-28 17:00:47+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @TarragonaPilots: mt Front Njord https://t.co/6BLssUf1Km,en,,['https://pbs.twimg.com/media/FO8db5CXsA0F4ou.jpg'],
2022-03-28 04:41:17+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @mariopereda: MN MSC CAROLE 🚢  en el terminal DP World  del Puerto de San Antonio⚓️ https://t.co/UdmLG3XpYm,es,,['https://pbs.twimg.com/media/FO5Ynu7XwA4jX4N.jpg'],
2022-03-26 17:18:33+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,"RT @TarragonaPilots: mv Irene Madias #inandout 
@PortTarragona https://t.co/Yjt81muNIx",et,['inandout'],['https://pbs.twimg.com/ext_tw_video_thumb/1507737114577887241/pu/img/mzt6fEm6n97-dCfZ.jpg'],
2022-03-25 05:41:15+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,"RT @GibraltarPilots: At night, we did this. Torm Gyda to the Gladiator https://t.co/sHCnkhptGS",en,,['https://pbs.twimg.com/ext_tw_video_thumb/1507119651104469001/pu/img/sFIPtEnfgv7N_LF9.jpg'],
2022-03-24 07:00:32+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,"RT @GaloMonge: Vb Ceballos…
@boludacm https://t.co/io2t4vLlQ4",de,,['https://pbs.twimg.com/media/FOj_P92XoAEmvAu.jpg'],
2022-03-22 19:23:04+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,"RT @BFShips: Honfleur has began her 2nd lot of Sea Trials today.

Photo: Fosen Shipyard. https://t.co/54dNg2U76Q",en,,['https://pbs.twimg.com/media/FOdtM4WWQAQDGR3.jpg'],
2022-03-22 06:19:03+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @capt_haitham: https://t.co/53amNt6M7j,und,,['https://pbs.twimg.com/media/FOZMA9aXoAM2uzW.jpg'],
2022-03-18 20:47:35+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @GibraltarPilots: A different perspective of the berthing @resolvemarine @GibdockLtd https://t.co/GlA9aR3Ro1,en,,['https://pbs.twimg.com/media/FOIzTycXsAIF_lt.jpg'],
2022-03-18 05:31:35+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @swriv1: Great job from Svitzer Warden assisting us into the lock this morning! Farewell !! #tugs #liverpool https://t.co/LykCgZQqZY,en,"['tugs', 'liverpool']",['https://pbs.twimg.com/media/FOCWPswXMAAAQL4.jpg'],
2022-03-16 18:41:18+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @GibraltarPilots: Waiting to board….. bit of a swell off the point this morning. https://t.co/tAOt7QgXao,en,,['https://pbs.twimg.com/ext_tw_video_thumb/1504087793919795205/pu/img/2aPSZvlrarKsQCaN.jpg'],
2022-03-16 08:30:00+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,Read bout the newbuild from Svitzer – Svitzer Suez 1 here: https://t.co/9c2cVnI3ai #tugs #Suez #shipping #seaports https://t.co/PFlC9YMP0F,en,"['tugs', 'Suez', 'shipping', 'seaports']",['https://pbs.twimg.com/media/FMN34kfWUAAOfeP.jpg'],
2022-03-14 07:15:44+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @JuanGMata: Colisión entre el ferry Napoles y el portacontenedores Laust Maersk en el Mar de Alborán. 13/03/22. https://t.co/I7eKNEPHlT,es,,['https://pbs.twimg.com/media/FNwLK8zWQAMBAzX.jpg'],
2022-03-12 06:32:13+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,"RT @MarioDeFenza: The construction of steamship s.s.  Rotterdam, 1955 - https://t.co/NyRlgAVJR3",en,,['https://pbs.twimg.com/media/FNl2JnGXIAcmbyA.jpg'],
2022-03-11 16:31:38+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @jason_photos: @ShippingMag  Valiant Lady coming in on the thames https://t.co/F1LK7Trs3V,en,,['https://pbs.twimg.com/media/FNkuSMgXwAAu74Y.jpg'],
2022-03-11 05:46:53+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @TarragonaPilots: LPG tanker Manifesto https://t.co/CVH9Y4TR5v,tl,,['https://pbs.twimg.com/media/FNf6J2iVUAkLHoC.jpg'],
2022-03-07 05:39:57+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,"RT @PNWstevedore: Terminal 18
Wide Bravo   Inbound to berth. https://t.co/S7uVVWvVk1",en,,['https://pbs.twimg.com/ext_tw_video_thumb/1500598172237774848/pu/img/mZwDW9pypgOOm_W0.jpg'],
2022-03-06 20:33:14+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,"RT @capt_haitham: #Repost

There goes a #Pilot, ready to provide safety and efficiency to port operations.⬜️🟥 https://t.co/wInIPtxlS1",en,"['Repost', 'Pilot']",['https://pbs.twimg.com/ext_tw_video_thumb/1500343361655422977/pu/img/L_K2lvtOPr8oAz2E.jpg'],
2022-03-06 06:11:37+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @GaloMonge: Trabajando en equipo @boludacm junto @AlgecirasPilots en @PuertoAlgeciras. https://t.co/MqFwJlGHnA,es,,['https://pbs.twimg.com/media/FNHBO7tXIAcX-9u.jpg'],
2022-03-05 13:33:01+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,"RT @donships1: No.1632 New Camellia 2004 19,961 Camellia Line from Mitsubishi, Shimonoseki https://t.co/Ho9PFKI9sR",en,,['https://pbs.twimg.com/media/FNEnbzyXMAUosR4.jpg'],
2022-03-03 05:40:50+00:00,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,"RT @JuanGMata: Ferry ""Bahama Mama"" saliendo de Algeciras. https://t.co/JkfLMr4cKF",es,,['https://pbs.twimg.com/media/FM4CiZiWQAMtiUO.jpg'],
