created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-28 20:10:35+00:00,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,RT @AfricaUya: WEC CORNEILLE at⚓️ #Ship #port #sea #shipsinpics #maritime #VTS #shipspotter #container #Monday https://t.co/oJDVqvSueo,de,"['Ship', 'port', 'sea', 'shipsinpics', 'maritime', 'VTS', 'shipspotter', 'container', 'Monday']",['https://pbs.twimg.com/media/FO9aQDzWQAw9nUe.jpg'],
2022-03-27 18:10:34+00:00,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,RT @AfricaUya: SDS GREEN⚓️ #Ship #port #sea #shipsinpics #maritime #VTS #shipspotter #Napoli #Sunday https://t.co/zCZ9p7KXJp,sv,"['Ship', 'port', 'sea', 'shipsinpics', 'maritime', 'VTS', 'shipspotter', 'Napoli', 'Sunday']",['https://pbs.twimg.com/media/FO38_N1XEAUsNz_.jpg'],
2022-03-26 19:10:52+00:00,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @hhvferry: Viking Glory of @vikingline_se arriving at Stockholm.

#shipsinpics https://t.co/HdwpYD8qYn",en,['shipsinpics'],['https://pbs.twimg.com/media/FOzE5YIXEAMLGCq.jpg'],
2022-03-25 13:10:37+00:00,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @LarryHenley2: GM gm GM
looks to be a marvelous day
#shipsinpics #NOLA https://t.co/jcyheLPzwO",en,"['shipsinpics', 'NOLA']",['https://pbs.twimg.com/media/FOsmwJjXsAAYCOo.jpg'],
2022-03-25 10:10:39+00:00,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @Gibdan1: Cargo ships in Gibraltar #shipsinpics #ships #shipping #shipspotting 

⚓️ CARINA
⚓️ FRANBO LOGIC https://t.co/Y0g9inEY9C",en,"['shipsinpics', 'ships', 'shipping', 'shipspotting']",['https://pbs.twimg.com/media/FOr7W7_XMAc8UII.jpg'],
2022-03-25 04:10:35+00:00,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @LarryHenley2: GN to all my Twitter friends
The Gladys B
#shipsinpics #NOLA https://t.co/LljsENuEx9",en,"['shipsinpics', 'NOLA']",['https://pbs.twimg.com/media/FOqfMOJXEAAgNqH.jpg'],
2022-03-24 21:10:44+00:00,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @hhvferry: Time for a mini cruise on @vikingline_se's legendary Cinderella. 

#shipsinpics https://t.co/Sb2iBJuCta",en,['shipsinpics'],['https://pbs.twimg.com/media/FOpMYlhWUAM9OR5.jpg'],
2022-03-24 21:10:35+00:00,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,RT @p_pouvreau: Méthaniers dans l'#EstuairedelaLoire #SaintNazaire #lngtanker #shipsinpics - mars 2022. https://t.co/n2kjLyhd0e,fr,"['EstuairedelaLoire', 'SaintNazaire', 'lngtanker', 'shipsinpics']",['https://pbs.twimg.com/media/FOpLdQkWYAob8Qb.jpg'],
2022-03-24 19:10:47+00:00,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @Gibdan1: Bulkers in Gibraltar #shipsinpics #ships #shipping #shipspotting 

⚓️ AVRA
⚓️ NEA ELPIS https://t.co/wgrnprCZQ3",tr,"['shipsinpics', 'ships', 'shipping', 'shipspotting']",['https://pbs.twimg.com/media/FOol1nrXsAcgtdB.jpg'],
2022-03-24 19:10:35+00:00,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @Gibdan1: Tankers in Gibraltar #shipsinpics #ships #shipping #shipspotting 

⚓️ APACHE
⚓️ STENA PRESIDENT https://t.co/tpVPJVn5eq",en,"['shipsinpics', 'ships', 'shipping', 'shipspotting']",['https://pbs.twimg.com/media/FOollPuXIAM_FKN.jpg'],
