created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-28 18:54:21+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Unidentified submarine leaving Bremerton and heading northbound in Puget Sound - March 28, 2022 https://t.co/yra1P93KA3",en,,['https://pbs.twimg.com/media/FO9VAUkXwAQsmHo.jpg'],
2022-03-28 18:46:13+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","HMS Portland (F79) Duke-class frigate leaving Mayport, Florida  - March 28, 2022 #hmsportland #f79 https://t.co/9kxonTCQdy",en,"['hmsportland', 'f79']",['https://pbs.twimg.com/media/FO9TJHHWQAQx3oZ.jpg'],
2022-03-28 17:18:29+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Carl Vinson (CVN 70) Nimitz-class aircraft carrier leaving San Diego - March 28, 2022 #usscarlvinson #cvn70 https://t.co/KrJUJh82au",en,"['usscarlvinson', 'cvn70']",['https://pbs.twimg.com/media/FO8_Db5WYAgTrm9.jpg'],
2022-03-28 17:14:39+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Carl Vinson (CVN 70) Nimitz-class aircraft carrier leaving San Diego - March 28, 2022 #usscarlvinson #cvn70 https://t.co/iIvL3NGJir",en,"['usscarlvinson', 'cvn70']",['https://pbs.twimg.com/media/FO8-L4aXMAwFXf_.jpg'],
2022-03-28 17:14:19+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Carl Vinson (CVN 70) Nimitz-class aircraft carrier leaving San Diego - March 28, 2022 #usscarlvinson #cvn70 https://t.co/gVAvEBeycV",en,"['usscarlvinson', 'cvn70']",['https://pbs.twimg.com/media/FO8-GyDXMAE3YKR.jpg'],
2022-03-28 12:44:02+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","French Navy La Fayette-class frigate leaving Toulon, France - March 28, 2022 https://t.co/hnRQfJalc9",en,,['https://pbs.twimg.com/media/FO8APnfXMAY9flu.jpg'],
2022-03-25 13:19:24+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Royal Norwegian Navy Skjold-class corvette in Tromso, Norway - March 25, 2022 #skjold #hnoms https://t.co/H2tqPnWeot",no,"['skjold', 'hnoms']",['https://pbs.twimg.com/media/FOsrkpUXMAUXgrQ.jpg'],
2022-03-25 13:16:28+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","French Navy Aquitaine-class frigate FS Alsace (D656) in Piraeus, Greece - March 25, 2022 #fsalsace #d656 @Jef_Hilsen https://t.co/ocy8ruqVx3",en,"['fsalsace', 'd656']",['https://pbs.twimg.com/media/FOsq5nMWYAACSoj.jpg'],
2022-03-24 21:17:52+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USCGC Munro (WMSL 755) Legend-class cutter coming into San Diego - March 24, 2022 #uscgcmunro #wmsl755 https://t.co/N62do3MvMh",en,"['uscgcmunro', 'wmsl755']",['https://pbs.twimg.com/media/FOpPfqUX0AU4Li0.jpg'],
2022-03-24 13:20:04+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","French Navy Aquitaine-class frigate FS Alsace (D656) in Piraeus, Greece - March 24, 2022 #fsalsace #d656 @Jef_Hilsen https://t.co/pf7zDoeyH4",en,"['fsalsace', 'd656']",['https://pbs.twimg.com/media/FOniIpaXwAQ8T12.jpg'],
