,images,Text,confidenceOCR
0,images/Cropped Image7.jpg,Mi0z,0.5889675617218018
1,images/Cropped Image9.jpg,MI07,0.7496278882026672
2,images/Cropped Image11.jpg,Mi07,0.35784709453582764
3,images/Cropped Image12.jpg,150,0.5284801871374163
4,images/Cropped Image15.jpg,150,0.7336859598757104
5,images/Cropped Image29.jpg,4755,0.9562592506408691
6,images/Cropped Image30.jpg,4755,0.9264693260192871
7,images/Cropped Image32.jpg,P2BL,0.20164988934993744
8,images/Cropped Image33.jpg,P2OL,0.49366098642349243
9,images/Cropped Image35.jpg,P2BL,0.4708552658557892
10,images/Cropped Image38.jpg,4752,0.9441590309143066
11,images/Cropped Image39.jpg,4752,0.9743460416793823
12,images/Cropped Image41.jpg,P264,0.9820205569267273
13,images/Cropped Image41.jpg,P164,0.9885464906692505
14,images/Cropped Image42.jpg,P264,0.9452799374481604
15,images/Cropped Image43.jpg,P164,0.9953623414039612
16,images/Cropped Image44.jpg,F237,0.9634829163551331
17,images/Cropped Image45.jpg,F237,0.961627185344696
18,images/Cropped Image47.jpg,F237,0.8593618803234819
19,images/Cropped Image54.jpg,P283,0.7601916193962097
20,images/Cropped Image57.jpg,Aeuz,0.4585425853729248
21,images/Cropped Image58.jpg,A8jz,0.16123157739639282
22,images/Cropped Image73.jpg,02,0.15606017563042
23,images/Cropped Image75.jpg,6 8 2,0.2665470124272548
24,images/Cropped Image76.jpg,682,0.3346839712652058
25,images/Cropped Image89.jpg,200,0.5861252803878392
26,images/Cropped Image93.jpg,WAVE %night,0.5951545252790635
27,images/Cropped Image93.jpg,20,0.7764201407282375
28,images/Cropped Image97.jpg,F237,0.25436633825302124
29,images/Cropped Image100.jpg,F237,0.2617836892604828
30,images/Cropped Image101.jpg,DGOSPORTMAAINA ANDDRY STACK,0.1738633435777827
31,images/Cropped Image104.jpg,ETO GOSPORTMARINA AND DRY STACK,0.38279456474287665
32,images/Cropped Image116.jpg,shilcr,0.21574365671263404
33,images/Cropped Image117.jpg,Shilcr,0.33676422372334014
34,images/Cropped Image119.jpg,"ROS ,",0.3097689592095909
35,images/Cropped Image120.jpg,WARNIA,0.7371035181469658
36,images/Cropped Image125.jpg,20,0.6262285869099388
37,images/Cropped Image126.jpg,20,0.9999978926582248
38,images/Cropped Image127.jpg,20,0.7770795058859604
39,images/Cropped Image139.jpg,2 |,0.8067302703857422
40,images/Cropped Image142.jpg,215,0.9966932544255682
41,images/Cropped Image143.jpg,215,0.555363655090332
42,images/Cropped Image144.jpg,215,0.5291885137557983
43,images/Cropped Image145.jpg,215,0.9988641213336298
44,images/Cropped Image152.jpg,4001,0.5392181225621502
45,images/Cropped Image153.jpg,400i,0.5049120783805847
46,images/Cropped Image156.jpg,1020,0.5377713441848755
47,images/Cropped Image158.jpg,020,0.7388265039138243
48,images/Cropped Image179.jpg,Ga0,0.26577254074813034
49,images/Cropped Image179.jpg,82 |,0.6408040403039202
50,images/Cropped Image180.jpg,82 |,0.8121267557144165
51,images/Cropped Image181.jpg,82 |,0.8384756500216697
52,images/Cropped Image190.jpg,F9z,0.29073841147734586
53,images/Cropped Image192.jpg,F9Z,0.47145108746719916
54,images/Cropped Image215.jpg,48},0.11622232009226528
55,images/Cropped Image226.jpg,20,0.6262285869099388
56,images/Cropped Image227.jpg,20,0.9999978926582248
57,images/Cropped Image228.jpg,20,0.7770795058859604
58,images/Cropped Image249.jpg,551,0.9984165617721815
59,images/Cropped Image253.jpg,551,0.9975766344064307
60,images/Cropped Image256.jpg,4001,0.5392181225621502
61,images/Cropped Image257.jpg,400i,0.5049120783805847
62,images/Cropped Image263.jpg,931,0.91505304142625
63,images/Cropped Image264.jpg,931,0.7642854536163843
64,images/Cropped Image299.jpg,O,0.24143418956876772
65,images/Cropped Image325.jpg,572,0.9999852025288544
66,images/Cropped Image326.jpg,572,0.9999860972588346
67,images/Cropped Image354.jpg,1,0.6309905466362729
68,images/Cropped Image404.jpg,CMEMPB,0.24731752749831684
69,images/Cropped Image406.jpg,B,0.14291803902768052
70,images/Cropped Image406.jpg,CMEMPE,0.2553997755488782
71,images/Cropped Image407.jpg,CMEMPB,0.3082903358923182
72,images/Cropped Image408.jpg,pl,0.1293460349483475
73,images/Cropped Image424.jpg,cosgo,0.34974092399238477
74,images/Cropped Image424.jpg,Los6d,0.1401744891760024
75,images/Cropped Image424.jpg,Mo 9319571,0.8242078710894537
76,images/Cropped Image424.jpg,Mio StrAIT,0.27800832775532563
77,images/Cropped Image425.jpg,cosg0,0.16446431253336527
78,images/Cropped Image425.jpg,Mo,0.7339226477191015
79,images/Cropped Image425.jpg,Mito StRAIT,0.4554827083639424
80,images/Cropped Image425.jpg,49319571,0.12915310534149835
81,images/Cropped Image431.jpg,Kanmtah Apahmubih,0.11751352513652559
82,images/Cropped Image431.jpg,pocMoPno t,0.1934110381138874
83,images/Cropped Image437.jpg,Lt0 M,0.13864587220486926
84,images/Cropped Image439.jpg,I,0.17979201879325135
85,images/Cropped Image439.jpg,M,0.6573125787575727
86,images/Cropped Image441.jpg,ly,0.12392649309139332
87,images/Cropped Image441.jpg,W,0.8848664659601049
88,images/Cropped Image449.jpg,Iue Rvs 92,0.2980928018723778
89,images/Cropped Image450.jpg,Hezpa?,0.40083702149126027
90,images/Cropped Image451.jpg,Hezca:,0.1601501256033355
91,images/Cropped Image460.jpg,417,0.9992593365614758
92,images/Cropped Image475.jpg,20,0.9999814554370187
93,images/Cropped Image485.jpg,0700,0.8817543983459473
94,images/Cropped Image486.jpg,0700,0.9540663957595825
95,images/Cropped Image488.jpg,Ever foaward,0.5347041965915297
96,images/Cropped Image488.jpg,hong Kong,0.6260476407206543
97,images/Cropped Image508.jpg,659,0.9998109387037398
98,images/Cropped Image510.jpg,DocatoM Qa0t,0.12511260341738276
99,images/Cropped Image512.jpg,ApKtwka,0.19310899465860198
100,images/Cropped Image512.jpg,POcatOMpdt,0.12368740425544003
101,images/Cropped Image512.jpg,Doc,0.35980430889339554
102,images/Cropped Image513.jpg,POChTONPAOt,0.13207980613795905
103,images/Cropped Image513.jpg,Poc,0.3006271996811164
104,images/Cropped Image514.jpg,)iplmu,0.11042764056928414
105,images/Cropped Image514.jpg,POcATOMPAOT,0.1351106949647734
